104.39,23.87,-0.05,287.00,,
104.24,23.87,-0.07,287.02,,
104.17,23.87,-0.08,287.04,,
104.1,23.87,-0.08,287.06,,
103.99,23.87,-0.09,287.08,,
103.89,23.87,-0.1,287.10,,
103.75,23.87,-0.12,287.13,,
103.66,23.87,-0.13,287.15,,
103.58,23.87,-0.13,287.17,,
103.52,23.87,-0.14,287.19,,
103.45,23.87,-0.15,287.21,,
103.46,23.87,-0.15,287.23,,
103.41,23.87,-0.15,287.25,,
103.38,23.87,-0.16,287.27,,
103.41,23.87,-0.15,287.29,,
103.38,23.87,-0.16,287.31,,
103.39,23.87,-0.15,287.33,,
103.42,23.87,-0.15,287.35,,28
103.47,23.87,-0.15,287.38,,
106.07,23.77,0.11,287.40,,
107.49,23.97,0.25,287.42,,
109.03,23.77,0.41,287.44,,
110.43,23.87,0.55,287.46,,
110.77,24.06,0.58,287.48,,6720
109.95,24.16,0.5,287.50,,6720
108.67,24.16,0.37,287.52,,
107.41,24.06,0.25,287.54,,
106.21,24.06,0.13,287.56,,
104.72,24.06,-0.02,287.58,,
104.53,24.06,-0.04,287.60,,
104.38,24.06,-0.06,287.63,,
104.26,24.06,-0.07,287.65,,
104.17,24.06,-0.08,287.67,,
104.1,24.06,-0.08,287.69,,
104.04,24.06,-0.09,287.71,,
103.99,24.06,-0.09,287.73,,
103.93,24.06,-0.1,287.75,,
103.88,24.06,-0.11,287.77,,
103.84,24.06,-0.11,287.79,,
103.82,24.06,-0.11,287.81,,
103.75,24.06,-0.12,287.83,,
103.68,24.06,-0.12,287.85,,
103.65,24.06,-0.13,287.88,,
103.64,24.06,-0.13,287.90,,
104.99,24.06,0.01,287.92,,
106.24,24.06,0.13,287.94,,
107.41,24.06,0.25,287.96,,
108.21,24.06,0.33,287.98,,
107.95,24.16,0.3,288.00,,
107.03,24.16,0.21,288.02,,
106.12,24.16,0.12,288.04,,
104.76,24.16,-0.02,288.06,,
104.45,24.16,-0.05,288.08,,
104.28,24.16,-0.07,288.10,,
104.19,24.16,-0.07,288.13,,
104.09,24.16,-0.08,288.15,,
104.02,24.16,-0.09,288.17,,
103.95,24.16,-0.1,288.19,,
103.89,24.26,-0.1,288.21,,
103.88,24.26,-0.11,288.23,,
103.83,24.16,-0.11,288.25,,
103.79,24.26,-0.11,288.27,,
103.76,24.26,-0.12,288.29,,
103.72,24.26,-0.12,288.31,,
103.69,24.26,-0.12,288.33,,
103.66,24.26,-0.13,288.35,,
103.6,24.16,-0.13,288.38,,
103.6,24.26,-0.13,288.40,,
105.83,24.16,0.09,288.42,,
107.56,24.26,0.26,288.44,,
109.62,24.06,0.47,288.46,,
111.35,24.16,0.64,288.48,,
111.95,24.45,0.7,288.50,,
111.14,24.45,0.62,288.52,,
109.75,24.45,0.48,288.54,,
108.32,24.45,0.34,288.56,,
106.92,24.35,0.2,288.58,,
105.6,24.26,0.07,288.60,,
104.52,24.35,-0.04,288.63,,
104.35,24.26,-0.06,288.65,,
104.24,24.26,-0.07,288.67,,
104.13,24.26,-0.08,288.69,,
