   80.8222   49.2094
   81.1404   49.2782
   81.4586   49.3461
   81.7768   49.4129
   82.0950   49.4787
   82.4132   49.5436
   82.7314   49.6075
   83.0496   49.6704
   83.3678   49.7323
   83.6860   49.7933
   84.0042   49.8532
   84.3224   49.9122
   84.6406   49.9702
   84.9588   50.0273
   85.2770   50.0833
   85.5952   50.1384
   85.9134   50.1925
   86.2316   50.2456
   86.5498   50.2977
   86.8680   50.3489
   87.1862   50.3990
   87.5044   50.4482
   87.8226   50.4964
   88.1408   50.5436
   88.4590   50.5899
   88.7772   50.6352
   89.0954   50.6794
   89.4136   50.7228
   89.7318   50.7651
   90.0500   50.8064
   90.3682   50.8468
   90.6864   50.8862
   91.0046   50.9246
   91.3228   50.9620
   91.6410   50.9985
   91.9592   51.0339
   92.2774   51.0684
   92.5956   51.1019
   92.9138   51.1345
   93.2320   51.1660
   93.5502   51.1966
   93.8683   51.2262
   94.1865   51.2548
   94.5047   51.2824
   94.8229   51.3091
   95.1411   51.3347
   95.4593   51.3594
   95.7775   51.3831
   96.0957   51.4058
   96.4139   51.4276
   96.7321   51.4484
   97.0503   51.4682
   97.3685   51.4870
   97.6867   51.5048
   98.0049   51.5216
   98.3231   51.5375
   98.6413   51.5524
   98.9595   51.5663
   99.2777   51.5792
   99.5959   51.5912
   99.9141   51.6021
  100.2323   51.6121
  100.5505   51.6211
  100.8687   51.6292
  101.1869   51.6362
  101.5051   51.6423
  101.8233   51.6474
  102.1415   51.6515
  102.4597   51.6546
  102.7779   51.6568
  103.0961   51.6579
  103.4143   51.6581
  103.7325   51.6573
  104.0507   51.6556
  104.3689   51.6528
  104.6871   51.6491
  105.0053   51.6444
  105.3235   51.6387
  105.6417   51.6320
  105.9599   51.6243
  106.2781   51.6157
  106.5963   51.6061
  106.9145   51.5955
  107.2327   51.5839
  107.5509   51.5714
  107.8690   51.5578
  108.1872   51.5433
  108.5054   51.5279
  108.8236   51.5114
  109.1418   51.4939
  109.4600   51.4755
  109.7782   51.4561
  110.0964   51.4357
  110.4146   51.4143
  110.7328   51.3920
  111.0510   51.3686
  111.3692   51.3443
  111.6874   51.3190
  112.0056   51.2928
  112.3238   51.2655
  112.6420   51.2373
  112.9602   51.2081
  113.2784   51.1779
  113.5966   51.1467
  113.9148   51.1146
  114.2330   51.0814
  114.5512   51.0473
  114.8694   51.0122
  115.1876   50.9761
  115.5058   50.9391
  115.8240   50.9011
  116.1422   50.8621
  116.4604   50.8221
  116.7786   50.7811
  117.0968   50.7391
  117.4150   50.6962
  117.7332   50.6523
  118.0514   50.6074
  118.3696   50.5615
  118.6878   50.5147
  119.0060   50.4669
  119.3242   50.4180
  119.6424   50.3682
  119.9606   50.3175
  120.2788   50.2657
  120.5970   50.2130
  120.9152   50.1593
  121.2334   50.1046
  121.5516   50.0489
  121.8698   49.9923
  122.1880   49.9346
  122.5061   49.8760
  122.8243   49.8164
  123.1425   49.7559
  123.4607   49.6943
  123.7789   49.6318
  124.0971   49.5683
  124.4153   49.5038
  124.7335   49.4383
  125.0517   49.3718
  125.3699   49.3044
  125.6881   49.2360
  126.0063   49.1666
  126.3245   49.0962
  126.6427   49.0249
  126.9609   48.9526
  127.2791   48.8792
  127.5973   48.8050
  127.9155   48.7297
  128.2337   48.6534
  128.5519   48.5762
  128.8701   48.4980
  129.1883   48.4188
  129.5065   48.3386
  129.8248   48.2575
  130.1430   48.1753
  130.4612   48.0922
  130.7794   48.0081
  131.0976   47.9230
  131.4158   47.8370
  131.7340   47.7500
  132.0522   47.6619
  132.3704   47.5730
  132.6886   47.4830
  133.0068   47.3920
  133.3250   47.3001
  133.6432   47.2072
  133.9614   47.1133
  134.2796   47.0184
  134.5978   46.9225
  134.9160   46.8257
  135.2343   46.7279
  135.5525   46.6291
  135.8707   46.5293
  136.1889   46.4286
  136.5071   46.3268
  136.8253   46.2241
  137.1435   46.1204
  137.4617   46.0158
  137.7799   45.9101
  138.0981   45.8035
  138.4163   45.6959
  138.7345   45.5873
  139.0527   45.4777
  139.3709   45.3671
  139.6891   45.2556
  140.0073   45.1431
  140.3255   45.0296
  140.6437   44.9151
  140.9619   44.7996
  141.2802   44.6832
  141.5984   44.5658
  141.9166   44.4474
  142.2348   44.3280
  142.5530   44.2077
  142.8712   44.0863
  143.1894   43.9640
  143.5076   43.8407
  143.8258   43.7164
  144.1440   43.5912
  144.4622   43.4650
  144.7804   43.3377
  145.0986   43.2095
  145.4168   43.0804
  145.7350   42.9502
  146.0532   42.8191
  146.3714   42.6870
  146.6896   42.5539
  147.0078   42.4198
  147.3260   42.2847
  147.6443   42.1487
